Cluster,Transition,Partition,Num_Sentences,Word_Count,Sentence_IDs
1,1to2,1,1,19,0
1,1to2,2,2,33,"1,2"
1,1to2,3,2,39,"3,4"
1,1to2,4,4,39,"5,6,7,8"
1,1to2,5,3,40,"9,10,11"
1,1to2,6,2,36,"12,13"
1,1to2,7,1,33,14
1,1to2,8,2,29,"15,16"
1,1to2,9,4,38,"17,18,19,20"
3,3to4,1,5,45,"21,22,23,24,25"
3,3to4,2,4,42,"26,27,28,29"
3,3to4,3,2,52,"30,31"
3,3to4,4,4,48,"32,33,34,35"
3,3to4,5,4,43,"36,37,38,39"
3,3to4,6,2,43,"40,41"
3,3to4,7,2,53,"42,43"
3,3to4,8,3,26,"44,45,46"
3,3to4,9,4,50,"47,48,49,50"
3,3to4,10,3,53,"51,52,53"
3,3to4,11,5,47,"54,55,56,57,58"
3,3to4,12,4,50,"59,60,61,62"
