Cluster,Transition,Partition,Num_Sentences,Word_Count,Sentence_IDs
1,1to2,1,3,42,"1,2,3"
1,1to2,2,3,36,"4,5,6"
1,1to2,3,5,35,"7,8,9,10,11"
2,2to3,1,2,37,"12,13"
2,2to3,2,3,46,"14,15,16"
2,2to3,3,5,35,"17,18,19,20,21"
3,3to4,1,3,39,"22,23,24"
3,3to4,2,3,36,"25,26,27"
3,3to4,3,2,36,"28,29"
3,3to4,4,3,35,"30,31,32"
3,3to4,5,3,32,"33,34,35"
3,3to4,6,2,34,"36,37"
3,3to4,7,2,35,"38,39"
3,3to4,8,3,41,"40,41,42"
3,3to4,9,4,41,"43,44,45,46"
3,3to4,10,3,40,"47,48,49"
3,3to4,11,4,43,"50,51,52,53"
3,3to4,12,5,39,"54,55,56,57,58"
3,3to4,13,6,40,"59,60,61,62,63,64"
3,3to4,14,7,40,"65,66,67,68,69,70,71"
3,3to4,15,3,40,"72,73,74"
3,3to4,16,5,47,"75,76,77,78,79"
3,3to4,17,5,50,"80,81,82,83,84"
3,3to4,18,5,45,"85,86,87,88,89"
