Partition,ID,Text,V_pred,A_pred,Word_Count
1,6,"Their ship, The Finch, was small but engineered for elegance.",0.56467324,0.2821048,10
1,7,"Sleek hull, experimental propulsion, advanced environmental systems.",0.55101377,0.28326347,7
1,8,"Cutting-edge everything. “Trajectory locked,” Jin said. “Initiating jump sequence on your mark.” Mira nodded. “Mark.” The ship trembled as the jump coils activated.",0.43525913,0.25646582,23
2,9,"Space folded, bent, shimmered— And then, with a smooth lurch, they emerged in an entirely new star system, bathed in light from a peach-colored sun.",0.54194546,0.36736262,25
2,10,Gas giants floated like swirls of ink.,0.50155586,0.24328065,7
2,11,A ringed planet glimmered with ice crystals.,0.5524303,0.27183917,7
2,12,"The crew erupted into cheers. “This is insane,” Samir breathed. “We’re actually here,” Aleya whispered, eyes shining.",0.95727944,0.783065,17
3,13,"They spent the first two days charting magnetic fields, capturing images, collecting data.",0.5239822,0.20500785,13
3,14,Sleep felt optional; adrenaline kept them awake.,0.53412294,0.25760698,7
3,15,"They played music over the ship speakers, drifting through the cabin like they were dancing in a dream.",0.8524409,0.6196217,18
3,16,"They took photos, recorded vlogs, sent messages back to Helios filled with laughter and awe.",0.913871,0.6916685,15
