Cluster,Transition,Partition,Num_Sentences,Word_Count,Sentence_IDs
1,1to2,1,2,43,"1,2"
1,1to2,2,2,23,"3,4"
1,1to2,3,4,43,"5,6,7,8"
1,1to2,4,2,43,"9,10"
1,1to2,5,3,37,"11,12,13"
1,1to2,6,3,43,"14,15,16"
1,1to2,7,3,48,"17,18,19"
1,1to2,8,3,47,"20,21,22"
1,1to2,9,2,34,"23,24"
1,1to2,10,2,34,"25,26"
1,1to2,11,3,45,"27,28,29"
1,1to2,12,2,39,"30,31"
2,2to3,1,5,43,"32,33,34,35,36"
2,2to3,2,4,55,"37,38,39,40"
2,2to3,3,8,71,"41,42,43,44,45,46,47,48"
3,3to4,1,4,38,"49,50,51,52"
3,3to4,2,3,44,"53,54,55"
3,3to4,3,5,46,"56,57,58,59,60"
3,3to4,4,2,42,"61,62"
3,3to4,5,4,50,"63,64,65,66"
3,3to4,6,4,46,"67,68,69,70"
3,3to4,7,5,43,"71,72,73,74,75"
